,GeoName,Year,gdp
0,United States,2010,15598753.0
1,Alabama,2010,183014.5
2,Alaska,2010,54219.0
3,Arizona,2010,257396.9
4,Arkansas,2010,105223.6
5,California,2010,2056990.4
6,Colorado,2010,265319.3
7,Connecticut,2010,247876.8
8,Delaware,2010,60577.0
9,District of Columbia,2010,109940.9
10,Florida,2010,766653.9
11,Georgia,2010,430702.0
12,Hawaii,2010,71075.0
13,Idaho,2010,57952.9
14,Illinois,2010,694001.9
15,Indiana,2010,295526.0
16,Iowa,2010,150099.2
17,Kansas,2010,135182.0
18,Kentucky,2010,172266.7
19,Louisiana,2010,247856.5
20,Maine,2010,53790.1
21,Maryland,2010,327088.7
22,Massachusetts,2010,425028.7
23,Michigan,2010,400941.8
24,Minnesota,2010,285746.3
25,Mississippi,2010,100043.3
26,Missouri,2010,269057.9
27,Montana,2010,40595.1
28,Nebraska,2010,97830.1
29,Nevada,2010,128878.9
30,New Hampshire,2010,66460.5
31,New Jersey,2010,516400.5
32,New Mexico,2010,87053.8
33,New York,2010,1267972.0
34,North Carolina,2010,433916.7
35,North Dakota,2010,37974.9
36,Ohio,2010,520300.6
37,Oklahoma,2010,159534.9
38,Oregon,2010,169013.8
39,Pennsylvania,2010,622140.0
40,Rhode Island,2010,51364.7
41,South Carolina,2010,170151.9
42,South Dakota,2010,40367.3
43,Tennessee,2010,266473.5
44,Texas,2010,1301808.3
45,Utah,2010,123476.3
46,Vermont,2010,28116.1
47,Virginia,2010,437964.5
48,Washington,2010,381512.8
49,West Virginia,2010,68474.0
50,Wisconsin,2010,265116.5
51,Wyoming,2010,39842.9
52,New England,2010,872608.7
53,Mideast,2010,2904115.1
54,Great Lakes,2010,2175859.2
55,Plains,2010,1016303.2
56,Southeast,2010,3382534.0
57,Southwest,2010,1805770.3
58,Rocky Mountain,2010,527198.1
59,Far West,2010,2861634.4
60,United States,2011,15840664.0
61,Alabama,2011,185666.9
62,Alaska,2011,54722.6
63,Arizona,2011,263144.1
64,Arkansas,2011,107320.6
65,California,2011,2090836.8
66,Colorado,2011,268553.4
67,Connecticut,2011,242323.3
68,Delaware,2011,62501.4
69,District of Columbia,2011,111929.5
70,Florida,2011,763484.1
71,Georgia,2011,438060.2
72,Hawaii,2011,72236.3
73,Idaho,2011,57825.3
74,Illinois,2011,706705.2
75,Indiana,2011,296674.3
76,Iowa,2011,152153.2
77,Kansas,2011,138782.0
78,Kentucky,2011,174202.7
79,Louisiana,2011,234299.7
80,Maine,2011,53088.2
81,Maryland,2011,333963.8
82,Massachusetts,2011,435158.0
83,Michigan,2011,411427.2
84,Minnesota,2011,292275.1
85,Mississippi,2011,98765.3
86,Missouri,2011,266254.6
87,Montana,2011,41511.3
88,Nebraska,2011,102685.1
89,Nevada,2011,129748.1
90,New Hampshire,2011,66859.3
91,New Jersey,2011,510773.3
92,New Mexico,2011,87225.0
93,New York,2011,1270516.7
94,North Carolina,2011,438423.4
95,North Dakota,2011,42208.5
96,Ohio,2011,536583.2
97,Oklahoma,2011,165209.7
98,Oregon,2011,173881.1
99,Pennsylvania,2011,630906.6
100,Rhode Island,2011,51262.8
101,South Carolina,2011,174119.1
102,South Dakota,2011,42947.2
103,Tennessee,2011,274626.7
104,Texas,2011,1343700.8
105,Utah,2011,127216.9
106,Vermont,2011,28732.9
107,Virginia,2011,442260.6
108,Washington,2011,388099.0
109,West Virginia,2011,69577.2
110,Wisconsin,2011,270666.3
111,Wyoming,2011,39440.3
112,New England,2011,877422.2
113,Mideast,2011,2920656.0
114,Great Lakes,2011,2222060.4
115,Plains,2011,1037272.5
116,Southeast,2011,3400821.4
117,Southwest,2011,1859237.4
118,Rocky Mountain,2011,534554.7
119,Far West,2011,2909467.2
120,United States,2012,16197007.0
121,Alabama,2012,186553.9
122,Alaska,2012,57717.5
123,Arizona,2012,268068.2
124,Arkansas,2012,107718.8
125,California,2012,2144089.6
126,Colorado,2012,273593.9
127,Connecticut,2012,244114.4
128,Delaware,2012,61866.7
129,District of Columbia,2012,112610.0
130,Florida,2012,768722.9
131,Georgia,2012,443566.1
132,Hawaii,2012,73676.7
133,Idaho,2012,57780.1
134,Illinois,2012,720881.5
135,Indiana,2012,297816.1
136,Iowa,2012,157838.6
137,Kansas,2012,140764.1
138,Kentucky,2012,176323.1
139,Louisiana,2012,233481.2
140,Maine,2012,52866.6
141,Maryland,2012,334555.5
142,Massachusetts,2012,444478.2
143,Michigan,2012,418742.3
144,Minnesota,2012,296272.5
145,Mississippi,2012,99616.3
146,Missouri,2012,268861.9
147,Montana,2012,42041.6
148,Nebraska,2012,102605.3
149,Nevada,2012,127789.1
150,New Hampshire,2012,67635.7
151,New Jersey,2012,519569.0
152,New Mexico,2012,87644.8
153,New York,2012,1323400.8
154,North Carolina,2012,439539.7
155,North Dakota,2012,51624.6
156,Ohio,2012,540882.4
157,Oklahoma,2012,173238.8
158,Oregon,2012,174427.6
159,Pennsylvania,2012,640663.1
160,Rhode Island,2012,51607.4
161,South Carolina,2012,175328.5
162,South Dakota,2012,43550.7
163,Tennessee,2012,283482.0
164,Texas,2012,1410447.8
165,Utah,2012,128764.2
166,Vermont,2012,28893.6
167,Virginia,2012,445120.7
168,Washington,2012,400623.3
169,West Virginia,2012,69335.6
170,Wisconsin,2012,274540.5
171,Wyoming,2012,38437.7
172,New England,2012,889595.8
173,Mideast,2012,2992665.0
174,Great Lakes,2012,2252862.7
175,Plains,2012,1061517.9
176,Southeast,2012,3428788.9
177,Southwest,2012,1939399.5
178,Rocky Mountain,2012,540617.5
179,Far West,2012,2978323.8
180,United States,2013,16495369.0
181,Alabama,2013,188814.2
182,Alaska,2013,54748.1
183,Arizona,2013,269967.4
184,Arkansas,2013,110301.4
185,California,2013,2219610.5
186,Colorado,2013,282605.5
187,Connecticut,2013,238621.4
188,Delaware,2013,59496.1
189,District of Columbia,2013,112811.4
190,Florida,2013,784238.4
191,Georgia,2013,449796.1
192,Hawaii,2013,74294.1
193,Idaho,2013,59966.8
194,Illinois,2013,719922.2
195,Indiana,2013,303966.8
196,Iowa,2013,157902.5
197,Kansas,2013,140355.8
198,Kentucky,2013,179499.1
199,Louisiana,2013,226345.4
200,Maine,2013,52456.3
201,Maryland,2013,334431.0
202,Massachusetts,2013,446190.4
203,Michigan,2013,425327.3
204,Minnesota,2013,303222.5
205,Mississippi,2013,99456.4
206,Missouri,2013,271475.9
207,Montana,2013,42429.7
208,Nebraska,2013,103974.8
209,Nevada,2013,128341.2
210,New Hampshire,2013,68124.5
211,New Jersey,2013,526889.9
212,New Mexico,2013,86624.8
213,New York,2013,1325490.0
214,North Carolina,2013,445109.6
215,North Dakota,2013,52385.5
216,Ohio,2013,550692.3
217,Oklahoma,2013,176862.6
218,Oregon,2013,175811.6
219,Pennsylvania,2013,650802.3
220,Rhode Island,2013,51679.0
221,South Carolina,2013,178757.4
222,South Dakota,2013,43737.7
223,Tennessee,2013,287259.0
224,Texas,2013,1470464.6
225,Utah,2013,132169.1
226,Vermont,2013,28367.9
227,Virginia,2013,446625.0
228,Washington,2013,411468.9
229,West Virginia,2013,70121.2
230,Wisconsin,2013,275648.7
231,Wyoming,2013,38523.2
232,New England,2013,885435.3
233,Mideast,2013,3009890.1
234,Great Lakes,2013,2275544.1
235,Plains,2013,1073049.4
236,Southeast,2013,3466378.7
237,Southwest,2013,2003922.4
238,Rocky Mountain,2013,555700.5
239,Far West,2013,3064232.5
240,United States,2014,16912038.0
241,Alabama,2014,187568.0
242,Alaska,2014,53480.6
243,Arizona,2014,274112.9
244,Arkansas,2014,111729.9
245,California,2014,2316331.2
246,Colorado,2014,294812.0
247,Connecticut,2014,237700.4
248,Delaware,2014,64123.6
249,District of Columbia,2014,114814.8
250,Florida,2014,806029.4
251,Georgia,2014,465137.8
252,Hawaii,2014,74490.6
253,Idaho,2014,61663.2
254,Illinois,2014,735876.3
255,Indiana,2014,313830.9
256,Iowa,2014,165641.4
257,Kansas,2014,144131.5
258,Kentucky,2014,179888.5
259,Louisiana,2014,232746.2
260,Maine,2014,53445.1
261,Maryland,2014,339991.3
262,Massachusetts,2014,453778.2
263,Michigan,2014,430935.6
264,Minnesota,2014,312084.0
265,Mississippi,2014,99501.2
266,Missouri,2014,272786.8
267,Montana,2014,43285.1
268,Nebraska,2014,107394.4
269,Nevada,2014,129405.2
270,New Hampshire,2014,69506.5
271,New Jersey,2014,524420.4
272,New Mexico,2014,89372.2
273,New York,2014,1347559.8
274,North Carolina,2014,455295.7
275,North Dakota,2014,56554.6
276,Ohio,2014,571424.7
277,Oklahoma,2014,186307.0
278,Oregon,2014,181754.9
279,Pennsylvania,2014,666555.8
280,Rhode Island,2014,52005.5
281,South Carolina,2014,183579.7
282,South Dakota,2014,44449.7
283,Tennessee,2014,291661.7
284,Texas,2014,1518613.7
285,Utah,2014,136325.2
286,Vermont,2014,28510.1
287,Virginia,2014,446790.6
288,Washington,2014,426481.6
289,West Virginia,2014,69720.7
290,Wisconsin,2014,282031.2
291,Wyoming,2014,38711.1
292,New England,2014,894930.1
293,Mideast,2014,3057471.0
294,Great Lakes,2014,2334059.9
295,Plains,2014,1103027.9
296,Southeast,2014,3529757.8
297,Southwest,2014,2068424.7
298,Rocky Mountain,2014,574822.4
299,Far West,2014,3181845.2
300,United States,2015,17432170.0
301,Alabama,2015,189428.8
302,Alaska,2015,54015.3
303,Arizona,2015,281935.6
304,Arkansas,2015,112938.9
305,California,2015,2437366.9
306,Colorado,2015,308898.9
307,Connecticut,2015,245304.5
308,Delaware,2015,66527.0
309,District of Columbia,2015,117011.0
310,Florida,2015,842269.4
311,Georgia,2015,484378.4
312,Hawaii,2015,77176.6
313,Idaho,2015,63235.7
314,Illinois,2015,747666.8
315,Indiana,2015,311850.4
316,Iowa,2015,170545.9
317,Kansas,2015,147929.8
318,Kentucky,2015,182487.9
319,Louisiana,2015,230434.0
320,Maine,2015,53879.3
321,Maryland,2015,349146.8
322,Massachusetts,2015,471979.2
323,Michigan,2015,442287.6
324,Minnesota,2015,316863.3
325,Mississippi,2015,100013.6
326,Missouri,2015,276316.7
327,Montana,2015,45042.5
328,Nebraska,2015,110752.9
329,Nevada,2015,134892.2
330,New Hampshire,2015,71419.1
331,New Jersey,2015,535284.5
332,New Mexico,2015,91679.5
333,New York,2015,1372232.4
334,North Carolina,2015,469535.6
335,North Dakota,2015,55067.4
336,Ohio,2015,579943.2
337,Oklahoma,2015,193237.7
338,Oregon,2015,191864.2
339,Pennsylvania,2015,682527.0
340,Rhode Island,2015,52957.8
341,South Carolina,2015,190294.1
342,South Dakota,2015,45371.8
343,Tennessee,2015,302970.2
344,Texas,2015,1595969.5
345,Utah,2015,141602.0
346,Vermont,2015,28876.6
347,Virginia,2015,455830.0
348,Washington,2015,446628.3
349,West Virginia,2015,70332.7
350,Wisconsin,2015,288260.1
351,Wyoming,2015,39899.0
352,New England,2015,924397.5
353,Mideast,2015,3122663.6
354,Great Lakes,2015,2370031.5
355,Plains,2015,1122877.1
356,Southeast,2015,3631524.0
357,Southwest,2015,2162768.2
358,Rocky Mountain,2015,598732.2
359,Far West,2015,3341931.9
360,United States,2016,17730509.0
361,Alabama,2016,191523.4
362,Alaska,2016,53289.0
363,Arizona,2016,291259.6
364,Arkansas,2016,113490.4
365,California,2016,2519133.6
366,Colorado,2016,315793.0
367,Connecticut,2016,245966.1
368,Delaware,2016,62889.0
369,District of Columbia,2016,119420.2
370,Florida,2016,870963.2
371,Georgia,2016,500909.3
372,Hawaii,2016,79093.5
373,Idaho,2016,65643.2
374,Illinois,2016,746370.0
375,Indiana,2016,316545.6
376,Iowa,2016,169488.8
377,Kansas,2016,152511.5
378,Kentucky,2016,183454.9
379,Louisiana,2016,225361.8
380,Maine,2016,55088.1
381,Maryland,2016,359987.5
382,Massachusetts,2016,479184.9
383,Michigan,2016,451025.9
384,Minnesota,2016,321980.0
385,Mississippi,2016,100412.1
386,Missouri,2016,276210.9
387,Montana,2016,44580.7
388,Nebraska,2016,111611.7
389,Nevada,2016,138638.9
390,New Hampshire,2016,73022.7
391,New Jersey,2016,540380.3
392,New Mexico,2016,91713.9
393,New York,2016,1397723.7
394,North Carolina,2016,477523.8
395,North Dakota,2016,51137.3
396,Ohio,2016,585044.7
397,Oklahoma,2016,188063.3
398,Oregon,2016,201059.5
399,Pennsylvania,2016,691316.2
400,Rhode Island,2016,53030.2
401,South Carolina,2016,196477.4
402,South Dakota,2016,45733.6
403,Tennessee,2016,308157.4
404,Texas,2016,1606579.8
405,Utah,2016,147555.5
406,Vermont,2016,29206.3
407,Virginia,2016,460185.0
408,Washington,2016,463974.0
409,West Virginia,2016,69276.4
410,Wisconsin,2016,291320.5
411,Wyoming,2016,38079.7
412,New England,2016,935470.4
413,Mideast,2016,3171702.8
414,Great Lakes,2016,2390340.4
415,Plains,2016,1128865.0
416,Southeast,2016,3699273.1
417,Southwest,2016,2178408.5
418,Rocky Mountain,2016,612042.5
419,Far West,2016,3455461.8
420,United States,2017,18144105.0
421,Alabama,2017,193693.0
422,Alaska,2017,52825.9
423,Arizona,2017,302117.8
424,Arkansas,2017,114950.7
425,California,2017,2628314.6
426,Colorado,2017,328510.2
427,Connecticut,2017,248077.1
428,Delaware,2017,61851.1
429,District of Columbia,2017,120210.9
430,Florida,2017,901903.5
431,Georgia,2017,519452.6
432,Hawaii,2017,81039.5
433,Idaho,2017,68412.2
434,Illinois,2017,752459.2
435,Indiana,2017,322969.3
436,Iowa,2017,168976.5
437,Kansas,2017,154456.6
438,Kentucky,2017,184600.8
439,Louisiana,2017,228819.3
440,Maine,2017,55964.7
441,Maryland,2017,365857.0
442,Massachusetts,2017,490874.1
443,Michigan,2017,457341.5
444,Minnesota,2017,327667.5
445,Mississippi,2017,101071.7
446,Missouri,2017,279264.3
447,Montana,2017,45480.6
448,Nebraska,2017,113754.2
449,Nevada,2017,143590.9
450,New Hampshire,2017,74253.6
451,New Jersey,2017,540656.6
452,New Mexico,2017,91772.3
453,New York,2017,1424905.5
454,North Carolina,2017,489026.6
455,North Dakota,2017,51291.2
456,Ohio,2017,592725.7
457,Oklahoma,2017,188157.2
458,Oregon,2017,209581.3
459,Pennsylvania,2017,695560.8
460,Rhode Island,2017,52727.7
461,South Carolina,2017,202644.5
462,South Dakota,2017,46023.9
463,Tennessee,2017,314849.9
464,Texas,2017,1651329.5
465,Utah,2017,153986.0
466,Vermont,2017,29312.4
467,Virginia,2017,468125.4
468,Washington,2017,489435.0
469,West Virginia,2017,69743.2
470,Wisconsin,2017,294151.7
471,Wyoming,2017,37866.3
472,New England,2017,951181.7
473,Mideast,2017,3209379.8
474,Great Lakes,2017,2419655.8
475,Plains,2017,1141633.1
476,Southeast,2017,3790818.7
477,Southwest,2017,2234576.5
478,Rocky Mountain,2017,634833.8
479,Far West,2017,3605311.7
480,United States,2018,18687786.0
481,Alabama,2018,198053.7
482,Alaska,2018,52928.7
483,Arizona,2018,314016.1
484,Arkansas,2018,116698.8
485,California,2018,2708966.9
486,Colorado,2018,342865.6
487,Connecticut,2018,249043.3
488,Delaware,2018,63162.6
489,District of Columbia,2018,122661.9
490,Florida,2018,936580.3
491,Georgia,2018,538730.8
492,Hawaii,2018,82203.9
493,Idaho,2018,72455.4
494,Illinois,2018,769631.2
495,Indiana,2018,332156.8
496,Iowa,2018,172844.7
497,Kansas,2018,158192.7
498,Kentucky,2018,187507.4
499,Louisiana,2018,235021.9
500,Maine,2018,57302.7
501,Maryland,2018,368810.4
502,Massachusetts,2018,507806.0
503,Michigan,2018,467828.0
504,Minnesota,2018,337215.9
505,Mississippi,2018,102061.7
506,Missouri,2018,284696.3
507,Montana,2018,46627.5
508,Nebraska,2018,115087.9
509,Nevada,2018,149663.0
510,New Hampshire,2018,76165.3
511,New Jersey,2018,549000.8
512,New Mexico,2018,93870.9
513,New York,2018,1467076.8
514,North Carolina,2018,501955.0
515,North Dakota,2018,53472.8
516,Ohio,2018,606141.5
517,Oklahoma,2018,193204.7
518,Oregon,2018,219279.9
519,Pennsylvania,2018,708856.9
520,Rhode Island,2018,53135.5
521,South Carolina,2018,209012.5
522,South Dakota,2018,47287.0
523,Tennessee,2018,323316.8
524,Texas,2018,1715231.0
525,Utah,2018,162574.4
526,Vermont,2018,29565.4
527,Virginia,2018,478835.0
528,Washington,2018,524486.9
529,West Virginia,2018,71858.7
530,Wisconsin,2018,303767.4
531,Wyoming,2018,38696.3
532,New England,2018,972989.6
533,Mideast,2018,3280345.4
534,Great Lakes,2018,2479518.0
535,Plains,2018,1168963.7
536,Southeast,2018,3901739.0
537,Southwest,2018,2317630.1
538,Rocky Mountain,2018,663932.3
539,Far West,2018,3738194.2
540,United States,2019,19091662.0
541,Alabama,2019,200829.4
542,Alaska,2019,53255.2
543,Arizona,2019,323597.6
544,Arkansas,2019,117447.1
545,California,2019,2800505.4
546,Colorado,2019,356280.2
547,Connecticut,2019,251329.8
548,Delaware,2019,64319.3
549,District of Columbia,2019,123929.3
550,Florida,2019,963255.9
551,Georgia,2019,547422.7
552,Hawaii,2019,82471.4
553,Idaho,2019,74937.1
554,Illinois,2019,773135.5
555,Indiana,2019,337636.1
556,Iowa,2019,173515.4
557,Kansas,2019,160059.3
558,Kentucky,2019,190811.5
559,Louisiana,2019,239967.2
560,Maine,2019,58793.3
561,Maryland,2019,374039.3
562,Massachusetts,2019,519961.6
563,Michigan,2019,471648.1
564,Minnesota,2019,341041.4
565,Mississippi,2019,102656.4
566,Missouri,2019,287659.3
567,Montana,2019,47916.3
568,Nebraska,2019,117395.2
569,Nevada,2019,153728.6
570,New Hampshire,2019,77240.3
571,New Jersey,2019,556731.0
572,New Mexico,2019,98765.7
573,New York,2019,1490678.5
574,North Carolina,2019,511539.9
575,North Dakota,2019,53930.2
576,Ohio,2019,615474.4
577,Oklahoma,2019,197900.4
578,Oregon,2019,225336.8
579,Pennsylvania,2019,726165.9
580,Rhode Island,2019,53668.0
581,South Carolina,2019,214933.7
582,South Dakota,2019,47559.7
583,Tennessee,2019,328406.3
584,Texas,2019,1764357.2
585,Utah,2019,168792.7
586,Vermont,2019,29806.2
587,Virginia,2019,489168.4
588,Washington,2019,548686.7
589,West Virginia,2019,72340.4
590,Wisconsin,2019,308044.7
591,Wyoming,2019,39214.0
592,New England,2019,990777.5
593,Mideast,2019,3336480.6
594,Great Lakes,2019,2505871.8
595,Plains,2019,1181310.4
596,Southeast,2019,3981051.8
597,Southwest,2019,2386060.9
598,Rocky Mountain,2019,687941.6
599,Far West,2019,3864650.3
